N,P,K,ph,crop,crop_binary
135,43,16,7,cotton,0
100,46,18,6,cotton,0
123,39,24,7,cotton,0
117,56,15,7,cotton,0
121,36,24,7,cotton,0
101,58,18,7,cotton,0
107,42,24,6,cotton,0
100,41,22,7,cotton,0
125,39,21,8,cotton,0
105,60,23,6,cotton,0
102,46,19,7,cotton,0
131,49,22,7,cotton,0
139,35,15,6,cotton,0
108,36,19,7,cotton,0
118,45,23,8,cotton,0
107,51,22,6,cotton,0
125,60,17,7,cotton,0
113,37,20,7,cotton,0
131,52,16,6,cotton,0
115,48,16,7,cotton,0
113,38,25,7,cotton,0
111,41,18,6,cotton,0
111,53,19,6,cotton,0
122,48,16,6,cotton,0
108,46,17,7,cotton,0
132,41,22,8,cotton,0
103,42,17,7,cotton,0
133,50,25,8,cotton,0
127,37,18,7,cotton,0
110,39,25,7,cotton,0
131,38,19,7,cotton,0
108,38,24,7,cotton,0
122,40,17,7,cotton,0
111,50,15,8,cotton,0
140,40,17,6,cotton,0
100,40,20,7,cotton,0
123,50,16,6,cotton,0
107,36,21,6,cotton,0
118,50,19,6,cotton,0
103,51,20,7,cotton,0
133,57,19,8,cotton,0
129,47,20,6,cotton,0
116,52,19,6,cotton,0
114,40,23,7,cotton,0
131,60,17,7,cotton,0
107,43,18,7,cotton,0
123,44,21,8,cotton,0
112,49,25,6,cotton,0
119,44,15,7,cotton,0
130,59,19,7,cotton,0
127,53,24,6,cotton,0
134,52,18,8,cotton,0
109,36,18,8,cotton,0
100,48,17,8,cotton,0
132,52,19,6,cotton,0
102,37,25,6,cotton,0
111,39,22,6,cotton,0
117,51,15,6,cotton,0
136,36,24,8,cotton,0
134,56,18,7,cotton,0
112,54,15,6,cotton,0
105,56,15,7,cotton,0
140,45,15,6,cotton,0
126,46,25,7,cotton,0
106,49,24,7,cotton,0
121,53,19,8,cotton,0
108,60,17,7,cotton,0
116,56,17,8,cotton,0
100,52,19,8,cotton,0
129,43,16,7,cotton,0
118,44,23,7,cotton,0
117,43,25,8,cotton,0
126,37,21,7,cotton,0
120,48,16,7,cotton,0
102,45,16,7,cotton,0
131,56,20,8,cotton,0
114,40,17,6,cotton,0
101,37,18,8,cotton,0
106,46,20,6,cotton,0
113,38,20,6,cotton,0
102,53,21,7,cotton,0
110,39,18,8,cotton,0
107,58,15,8,cotton,0
120,60,15,7,cotton,0
89,47,38,6,jute,0
60,37,39,6,jute,0
63,41,45,7,jute,0
86,40,39,6,jute,0
96,41,40,6,jute,0
100,35,36,6,jute,0
63,37,43,7,jute,0
70,43,40,6,jute,0
67,55,44,7,jute,0
74,40,40,6,jute,0
89,53,44,7,jute,0
74,46,45,6,jute,0
89,41,38,6,jute,0
60,55,40,7,jute,0
67,43,38,7,jute,0
70,38,35,7,jute,0
74,49,38,7,jute,0
90,40,39,7,jute,0
82,35,44,6,jute,0
73,45,37,7,jute,0
85,53,38,7,jute,0
81,56,36,7,jute,0
84,55,38,7,jute,0
80,45,42,7,jute,0
76,54,45,6,jute,0
76,56,39,7,jute,0
81,40,45,6,jute,0
76,44,45,7,jute,0
69,47,40,6,jute,0
82,40,45,7,jute,0
69,57,35,6,jute,0
81,36,38,6,jute,0
67,60,38,7,jute,0
72,51,40,7,jute,0
65,39,45,7,jute,0
78,50,43,6,jute,0
77,52,41,6,jute,0
89,52,42,6,jute,0
62,49,37,7,jute,0
90,48,45,7,jute,0
66,47,36,7,jute,0
80,52,39,7,jute,0
89,52,45,7,jute,0
77,51,44,7,jute,0
94,37,41,6,jute,0
75,41,35,7,jute,0
60,55,36,7,jute,0
62,56,35,6,jute,0
84,40,42,7,jute,0
100,56,40,7,jute,0
75,56,44,6,jute,0
78,46,42,7,jute,0
82,48,36,6,jute,0
100,58,41,7,jute,0
88,50,40,7,jute,0
67,41,40,7,jute,0
72,42,43,6,jute,0
89,40,43,7,jute,0
89,57,43,7,jute,0
61,41,44,7,jute,0
79,45,43,7,jute,0
84,40,43,7,jute,0
98,43,35,7,jute,0
75,36,44,7,jute,0
89,58,35,6,jute,0
91,41,37,6,jute,0
77,48,36,7,jute,0
66,58,35,7,jute,0
62,59,41,7,jute,0
82,35,35,7,jute,0
61,41,35,7,jute,0
99,57,38,6,jute,0
70,42,43,7,jute,0
90,59,35,7,jute,0
73,43,42,6,jute,0
67,46,44,7,jute,0
84,37,42,7,jute,0
72,41,36,6,jute,0
71,56,37,6,jute,0
64,53,38,7,jute,0
65,54,39,7,jute,0
60,58,37,6,jute,0
86,39,43,6,jute,0
90,50,44,6,jute,0
91,38,36,7,jute,0
87,48,38,7,jute,0
72,41,36,6,jute,0
71,54,35,7,jute,0
82,46,41,7,jute,0
71,52,43,7,jute,0
80,43,43,6,jute,0
77,55,43,7,jute,0
95,57,41,6,jute,0
63,47,35,7,jute,0
93,43,38,7,jute,0
87,44,43,7,jute,0
88,52,39,7,jute,0
90,39,37,7,jute,0
90,39,43,7,jute,0
84,38,43,7,jute,0
91,21,26,7,coffee,0
107,21,26,7,coffee,0
83,38,35,7,coffee,0
108,24,31,6,coffee,0
116,28,34,6,coffee,0
116,23,25,7,coffee,0
109,31,27,7,coffee,0
89,25,34,7,coffee,0
118,18,32,6,coffee,0
111,32,34,6,coffee,0
84,36,28,6,coffee,0
85,33,25,7,coffee,0
99,15,27,7,coffee,0
81,30,31,7,coffee,0
95,39,29,7,coffee,0
81,34,30,7,coffee,0
80,15,28,7,coffee,0
104,20,26,7,coffee,0
109,29,28,7,coffee,0
100,32,26,6,coffee,0
100,24,28,7,coffee,0
83,21,28,7,coffee,0
120,23,28,7,coffee,0
104,26,30,6,coffee,0
108,33,31,7,coffee,0
91,25,26,7,coffee,0
86,26,27,6,coffee,0
98,18,27,7,coffee,0
111,27,31,6,coffee,0
84,39,35,7,coffee,0
98,27,27,7,coffee,0
118,21,34,7,coffee,0
103,27,31,7,coffee,0
82,24,33,7,coffee,0
86,31,35,6,coffee,0
88,35,35,7,coffee,0
84,27,29,7,coffee,0
120,40,33,7,coffee,0
106,40,30,7,coffee,0
113,21,33,7,coffee,0
117,34,25,7,coffee,0
80,30,25,7,coffee,0
88,21,27,7,coffee,0
113,33,34,7,coffee,0
87,23,28,7,coffee,0
113,15,29,7,coffee,0
98,29,30,6,coffee,0
97,29,27,7,coffee,0
85,35,32,7,coffee,0
82,29,35,6,coffee,0
103,33,25,7,coffee,0
112,17,28,7,coffee,0
99,19,33,6,coffee,0
120,20,34,7,coffee,0
114,27,28,7,coffee,0
100,40,35,7,coffee,0
108,35,25,7,coffee,0
115,31,30,7,coffee,0
87,28,30,7,coffee,0
82,24,26,6,coffee,0
94,26,27,7,coffee,0
87,28,35,7,coffee,0
118,40,35,7,coffee,0
87,38,29,7,coffee,0
92,40,30,6,coffee,0
97,22,26,6,coffee,0
99,40,32,7,coffee,0
89,28,33,7,coffee,0
112,39,29,7,coffee,0
111,28,26,7,coffee,0
114,20,26,7,coffee,0
117,26,30,7,coffee,0
111,29,31,6,coffee,0
119,30,28,7,coffee,0
116,40,33,7,coffee,0
95,37,35,6,coffee,0
86,40,33,7,coffee,0
117,37,32,7,coffee,0
105,18,35,7,coffee,0
109,23,25,7,coffee,0
80,18,31,7,coffee,0
101,31,26,7,coffee,0
103,33,33,7,coffee,0
93,26,27,7,coffee,0
104,35,28,7,coffee,0
116,36,25,6,coffee,0
107,38,29,6,coffee,0
101,33,33,7,coffee,0
107,31,31,7,coffee,0
99,16,30,6,coffee,0
103,40,30,6,coffee,0
118,31,34,6,coffee,0
106,21,35,7,coffee,0
116,38,34,6,coffee,0
97,35,26,6,coffee,0
107,34,32,7,coffee,0
99,15,27,6,coffee,0
118,33,30,6,coffee,0
117,32,34,7,coffee,0
104,18,30,7,coffee,0
